review_id,review_score,review_text,HostelNumber,review_date,review_language,train_text,Sentiment
4809839,66,dryer couldn t dry cloths after 3 hours of trying location is next to nothing but the train station temp of a c but find out it s extra clean new friendly enough staff,61623.0,2012-08-04 19:51:25,English,"['dryer', 'couldn', 't', 'dry', 'cloths', 'after', '3', 'hours', 'of', 'trying', 'location', 'is', 'next', 'to', 'nothing', 'but', 'the', 'train', 'station', 'temp', 'of', 'a', 'c', 'but', 'find', 'out', 'it', 's', 'extra', 'clean', 'new', 'friendly', 'enough', 'staff']",0
4426993,69,staff are amazingly helpfully loved having the airport transfer and were always on time the doors into the rooms are mighty squeaky no mirror in the one washroom which was a pain loved the free internet was very useful in room 19 loved having the heater but didn t like the fact that there is a very bright light on it,120.0,2012-02-15 17:29:31,English,"['staff', 'are', 'amazingly', 'helpfully', 'loved', 'having', 'the', 'airport', 'transfer', 'and', 'were', 'always', 'on', 'time', 'the', 'doors', 'into', 'the', 'rooms', 'are', 'mighty', 'squeaky', 'no', 'mirror', 'in', 'the', 'one', 'washroom', 'which', 'was', 'a', 'pain', 'loved', 'the', 'free', 'internet', 'was', 'very', 'useful', 'in', 'room', '19', 'loved', 'having', 'the', 'heater', 'but', 'didn', 't', 'like', 'the', 'fact', 'that', 'there', 'is', 'a', 'very', 'bright', 'light', 'on', 'it']",0
6624764,94,the hostel is great in everything just sometimes bathrooms were a bit smelly paper or a machine to dry your hands will be nice either,36649.0,2014-09-04 18:10:36,English,"['the', 'hostel', 'is', 'great', 'in', 'everything', 'just', 'sometimes', 'bathrooms', 'were', 'a', 'bit', 'smelly', 'paper', 'or', 'a', 'machine', 'to', 'dry', 'your', 'hands', 'will', 'be', 'nice', 'either']",0
7486225,91,nice little hostel with a large common room where almost everyone seems to hang out in the evenings making it pretty easy to meet people got the best sleep i d ever had in a hostel as many of the beds mine included are cozy enclosed cubicles with a curtain and reading light that provide plenty of privacy block out light and minimize vibration e g from the person in the upper bunk only downside was that the location was a bit of a trek,43490.0,2015-08-18 11:56:28,English,"['nice', 'little', 'hostel', 'with', 'a', 'large', 'common', 'room', 'where', 'almost', 'everyone', 'seems', 'to', 'hang', 'out', 'in', 'the', 'evenings', 'making', 'it', 'pretty', 'easy', 'to', 'meet', 'people', 'got', 'the', 'best', 'sleep', 'i', 'd', 'ever', 'had', 'in', 'a', 'hostel', 'as', 'many', 'of', 'the', 'beds', 'mine', 'included', 'are', 'cozy', 'enclosed', 'cubicles', 'with', 'a', 'curtain', 'and', 'reading', 'light', 'that', 'provide', 'plenty', 'of', 'privacy', 'block', 'out', 'light', 'and', 'minimize', 'vibration', 'e', 'g', 'from', 'the', 'person', 'in', 'the', 'upper', 'bunk', 'only', 'downside', 'was', 'that', 'the', 'location', 'was', 'a', 'bit', 'of', 'a', 'trek']",0
7388562,97,the location is absolutely gorgeous and the hostel itself is wonderful i regret not having more time to stay here the area is very quiet and peaceful sitting directly in the mountains the rooms are kept pristine and the staff is incredibly kind and helpful the hotspring bath they have is lovely clean and well worth trying if you want a place to stay to go hiking travel in the area and relax in a natural and beautiful place i cannot recommend this place heavily enough,89021.0,2015-07-24 02:08:23,English,"['the', 'location', 'is', 'absolutely', 'gorgeous', 'and', 'the', 'hostel', 'itself', 'is', 'wonderful', 'i', 'regret', 'not', 'having', 'more', 'time', 'to', 'stay', 'here', 'the', 'area', 'is', 'very', 'quiet', 'and', 'peaceful', 'sitting', 'directly', 'in', 'the', 'mountains', 'the', 'rooms', 'are', 'kept', 'pristine', 'and', 'the', 'staff', 'is', 'incredibly', 'kind', 'and', 'helpful', 'the', 'hotspring', 'bath', 'they', 'have', 'is', 'lovely', 'clean', 'and', 'well', 'worth', 'trying', 'if', 'you', 'want', 'a', 'place', 'to', 'stay', 'to', 'go', 'hiking', 'travel', 'in', 'the', 'area', 'and', 'relax', 'in', 'a', 'natural', 'and', 'beautiful', 'place', 'i', 'can', 'not', 'recommend', 'this', 'place', 'heavily', 'enough']",0
5461879,83,i stayed there two night and i have to admit it is a great hostel according to what you pay the location is just brilliant in the middle of chinatown lively area and close to the main sights breakfast was ok and super friendly and helpful staff eeverything was tidy and clean one thing that i really liked is that as soon as we checked in they gave us a ticket and we could have a drink for free and the nearby reggea mansion bar which is a cool terrace disco with a nice view of the city,19534.0,2013-05-08 13:42:26,English,"['i', 'stayed', 'there', 'two', 'night', 'and', 'i', 'have', 'to', 'admit', 'it', 'is', 'a', 'great', 'hostel', 'according', 'to', 'what', 'you', 'pay', 'the', 'location', 'is', 'just', 'brilliant', 'in', 'the', 'middle', 'of', 'chinatown', 'lively', 'area', 'and', 'close', 'to', 'the', 'main', 'sights', 'breakfast', 'was', 'ok', 'and', 'super', 'friendly', 'and', 'helpful', 'staff', 'eeverything', 'was', 'tidy', 'and', 'clean', 'one', 'thing', 'that', 'i', 'really', 'liked', 'is', 'that', 'as', 'soon', 'as', 'we', 'checked', 'in', 'they', 'gave', 'us', 'a', 'ticket', 'and', 'we', 'could', 'have', 'a', 'drink', 'for', 'free', 'and', 'the', 'nearby', 'reggea', 'mansion', 'bar', 'which', 'is', 'a', 'cool', 'terrace', 'disco', 'with', 'a', 'nice', 'view', 'of', 'the', 'city']",0
7505819,34,stayed at room 2 there was mould everywhere extremely unhealthy the floor was dirty and wasn t cleaned it rained on arrivel so the footprints from our boots were quite good to see despite a sign saying rooms are cleaned daily the receptionist on arrival was playing her music loudly during check in showers were okay but the ventilator wasn t cleaned in ages during our stay staff aked us if the beds in our room not used by us were free very unprofessional worst hostel i ever stayed at,6886.0,2015-08-23 16:26:18,English,"['stayed', 'at', 'room', '2', 'there', 'was', 'mould', 'everywhere', 'extremely', 'unhealthy', 'the', 'floor', 'was', 'dirty', 'and', 'wasn', 't', 'cleaned', 'it', 'rained', 'on', 'arrivel', 'so', 'the', 'footprints', 'from', 'our', 'boots', 'were', 'quite', 'good', 'to', 'see', 'despite', 'a', 'sign', 'saying', 'rooms', 'are', 'cleaned', 'daily', 'the', 'receptionist', 'on', 'arrival', 'was', 'playing', 'her', 'music', 'loudly', 'during', 'check', 'in', 'showers', 'were', 'okay', 'but', 'the', 'ventilator', 'wasn', 't', 'cleaned', 'in', 'ages', 'during', 'our', 'stay', 'staff', 'aked', 'us', 'if', 'the', 'beds', 'in', 'our', 'room', 'not', 'used', 'by', 'us', 'were', 'free', 'very', 'unprofessional', 'worst', 'hostel', 'i', 'ever', 'stayed', 'at']",0
7252903,91,i loved this hostel very clean great location the staff were very friendly and helpful in advising how to get to the places around good size rooms and lockers for your belongings,46689.0,2015-06-11 11:26:25,English,"['i', 'loved', 'this', 'hostel', 'very', 'clean', 'great', 'location', 'the', 'staff', 'were', 'very', 'friendly', 'and', 'helpful', 'in', 'advising', 'how', 'to', 'get', 'to', 'the', 'places', 'around', 'good', 'size', 'rooms', 'and', 'lockers', 'for', 'your', 'belongings']",0
4426981,60,has the potential to be a really nice hostel in real need of a good clean and maintenance once completed this would be real good joel the owner is a really nice guy and good host if he sorts those things out will be good,58354.0,2012-02-15 17:17:31,English,"['has', 'the', 'potential', 'to', 'be', 'a', 'really', 'nice', 'hostel', 'in', 'real', 'need', 'of', 'a', 'good', 'clean', 'and', 'maintenance', 'once', 'completed', 'this', 'would', 'be', 'real', 'good', 'joel', 'the', 'owner', 'is', 'a', 'really', 'nice', 'guy', 'and', 'good', 'host', 'if', 'he', 'sorts', 'those', 'things', 'out', 'will', 'be', 'good']",0
5264303,89,very centrally located good value friendly staff,54104.0,2013-02-01 21:16:35,English,"['very', 'centrally', 'located', 'good', 'value', 'friendly', 'staff']",0
