id,country,poor
9135,B,0.011312991380691528
117,B,0.010664120316505432
29085,B,0.006226545199751854
55442,B,0.056690484285354614
29281,B,0.005818114150315523
63854,B,0.004927336238324642
87565,B,0.014593600295484066
64033,B,0.003243528539314866
395,B,0.013118702918291092
64544,B,0.03381131589412689
66639,B,0.12442632764577866
8102,B,0.0042753373272717
60204,B,0.2364145666360855
14800,B,0.18044249713420868
79821,B,0.003456513164564967
77704,B,0.09241017699241638
58191,B,0.11047255247831345
14093,B,0.003503283718600869
25901,B,0.44070300459861755
5975,B,0.00871939305216074
4689,B,0.02547484263777733
56320,B,0.03390829265117645
74375,B,0.02293526381254196
49456,B,0.06618474423885345
14129,B,0.018431877717375755
89232,B,0.1175517588853836
65412,B,0.06845242530107498
88120,B,0.018604181706905365
93808,B,0.04108056426048279
8571,B,0.014667589217424393
39323,B,0.00540584372356534
375,B,0.05712348222732544
84199,B,0.015387526713311672
35382,B,0.04707514867186546
82785,B,0.07785972207784653
60951,B,0.013284427113831043
36193,B,0.02375403605401516
65574,B,0.02163459174335003
51811,B,0.06501048058271408
12078,B,0.049911290407180786
84891,B,0.038476068526506424
88811,B,0.0016332438681274652
23433,B,0.007417506538331509
64166,B,0.14270254969596863
14336,B,0.013375137001276016
90313,B,0.009009349159896374
92817,B,0.005619018338620663
10862,B,0.009325233288109303
17583,B,0.012622304260730743
12346,B,0.003230365226045251
94589,B,0.0715869814157486
83464,B,0.06606170535087585
30322,B,0.0061456891708076
30945,B,0.001572702545672655
28906,B,0.03345264121890068
7910,B,0.033411655575037
19793,B,0.030830206349492073
49466,B,0.0006336134974844754
41835,B,0.0483856126666069
79912,B,0.011573134921491146
43092,B,0.002241208218038082
53361,B,0.04280730336904526
29411,B,0.015404006466269493
67132,B,0.007641252130270004
34945,B,0.19201591610908508
11931,B,0.025536518543958664
29321,B,0.017418760806322098
75126,B,0.020883534103631973
16690,B,0.012827510014176369
85412,B,0.004088733810931444
47328,B,0.069178007543087
68185,B,0.0040874057449400425
33468,B,0.020366936922073364
12074,B,0.005622582044452429
38765,B,0.022249367088079453
56706,B,0.014575413428246975
78944,B,0.012970172800123692
64666,B,0.02627476304769516
11681,B,0.1846669763326645
3832,B,0.009674030356109142
57455,B,0.03724473714828491
84406,B,0.22107762098312378
23936,B,0.0012211935827508569
79048,B,0.006184450350701809
71266,B,0.15051190555095673
4285,B,0.02263071946799755
52733,B,0.01056320033967495
75392,B,0.4934810996055603
42611,B,0.013170846737921238
58206,B,0.034715987741947174
50549,B,0.16373254358768463
57069,B,0.012848413549363613
49621,B,0.15818597376346588
90244,B,0.010537216439843178
69756,B,0.007050353102385998
36400,B,0.01094538252800703
2988,B,0.06088877096772194
21136,B,0.42062315344810486
23656,B,0.09936212003231049
90540,B,0.0031173978932201862
73089,B,0.0032356141600757837
10106,B,0.026521781459450722
67913,B,0.008638548664748669
48993,B,0.023559097200632095
26328,B,0.014710087329149246
46256,B,0.03442995250225067
9036,B,0.023455874994397163
58307,B,0.004173509310930967
64600,B,0.0038401589263230562
93494,B,0.004839699249714613
40365,B,0.7095917463302612
60596,B,0.13519330322742462
55750,B,0.0827062800526619
63926,B,0.026265420019626617
20369,B,0.26476895809173584
12171,B,0.009394808672368526
86726,B,0.01747576892375946
25785,B,0.3760714530944824
76981,B,0.019045080989599228
56696,B,0.0027897125110030174
52969,B,0.017474915832281113
4100,B,0.003546222113072872
97595,B,0.0043119825422763824
84004,B,0.004583772737532854
80808,B,0.005436987616121769
3251,B,0.03373122215270996
18309,B,0.015291204676032066
68583,B,0.10504088550806046
27159,B,0.017347175627946854
31171,B,0.023184195160865784
54713,B,0.07371987402439117
62154,B,0.0016014613211154938
81070,B,0.010084458626806736
30142,B,0.021518750116229057
78616,B,0.03193061053752899
42466,B,0.13723041117191315
93444,B,0.08780092746019363
94043,B,0.18472030758857727
15677,B,0.0031757683027535677
95093,B,0.007406469900161028
86898,B,0.010958507657051086
94718,B,0.003012042725458741
66619,B,0.061935123056173325
34044,B,0.03796987980604172
50853,B,0.009443561546504498
54875,B,0.004434926901012659
63792,B,0.03184821084141731
11417,B,0.010494180954992771
810,B,0.03766987472772598
17828,B,0.05923241749405861
14410,B,0.010114925913512707
85183,B,0.05326593294739723
77144,B,0.06055052578449249
96185,B,0.008176486939191818
83821,B,0.016221901401877403
34132,B,0.02416309528052807
28985,B,0.08697306364774704
48386,B,0.008358699269592762
42914,B,0.008883165195584297
63566,B,0.004570836666971445
36054,B,0.00421797065064311
7770,B,0.004456047434359789
48544,B,0.12166907638311386
16133,B,0.001857990981079638
63046,B,0.12849284708499908
11501,B,0.0029222657904028893
51103,B,0.02603498473763466
48437,B,0.0016971630975604057
78655,B,0.0025336998514831066
33853,B,0.19058474898338318
96,B,0.008580170571804047
51959,B,0.046554915606975555
67169,B,0.012843811884522438
45631,B,0.01596645452082157
46147,B,0.004593490622937679
50883,B,0.07168673723936081
40472,B,0.010437331162393093
72956,B,0.011604213155806065
64859,B,0.17791318893432617
34693,B,0.1738186627626419
9364,B,0.029105328023433685
69727,B,0.026237934827804565
64314,B,0.02811039611697197
24878,B,0.03671925514936447
34388,B,0.3752311170101166
97476,B,0.0056807734072208405
34921,B,0.15165948867797852
13314,B,0.10951408743858337
18970,B,0.03489246964454651
37507,B,0.002044466556981206
87496,B,0.20815183222293854
58604,B,0.018674373626708984
30515,B,0.09404122829437256
44906,B,0.0053127724677324295
93239,B,0.34338223934173584
76112,B,0.5158182382583618
6456,B,0.011518997140228748
53927,B,0.0214861948043108
64186,B,0.03244662657380104
63138,B,0.36645373702049255
82015,B,0.16311363875865936
63170,B,0.012715774588286877
54807,B,0.055031802505254745
87793,B,0.025252481922507286
97301,B,0.01714649237692356
232,B,0.07717741280794144
26634,B,0.02706700563430786
85867,B,0.2347760945558548
57325,B,0.11571525782346725
35632,B,0.008531688712537289
47840,B,0.05885523930191994
9274,B,0.006628246512264013
284,B,0.11258815228939056
22742,B,0.10472822934389114
53934,B,0.03582087531685829
36966,B,0.6562848687171936
42608,B,0.017302049323916435
32006,B,0.01367982942610979
59632,B,0.03826148808002472
4497,B,0.011657497845590115
42984,B,0.004439042881131172
80997,B,0.011834943667054176
45573,B,0.02055816352367401
63859,B,0.5127457976341248
60895,B,0.0029087106231600046
7989,B,0.019568515941500664
